b'bbox|points\n'
b'[-62.74515829999996, -28.753465199999994, -62.71229440000002, -28.642902299999946]|[(-62.718868999999984, -28.753465199999994), (-62.71552489999999, -28.74967570000001), (-62.713468999999975, -28.74770159999997), (-62.71229440000002, -28.739118499999904), (-62.7126859, -28.706760400000007), (-62.718162500000005, -28.695945699999925), (-62.72725989999998, -28.677234599999963), (-62.73948689999992, -28.65345949999994), (-62.74515829999996, -28.642902299999946)]\n'
b'[-62.885400000000004, -28.575267699999984, -62.846437599999945, -28.557243299999982]|[(-62.846437599999945, -28.575267699999984), (-62.86070309999991, -28.569688699999972), (-62.86617519999999, -28.567800499999976), (-62.86998619999997, -28.565912199999957), (-62.87565379999995, -28.5648822), (-62.87856039999997, -28.564281400000027), (-62.881491600000004, -28.561105699999985), (-62.88422749999995, -28.55895989999999), (-62.885400000000004, -28.557243299999982)]\n'
b'[-63.20435609999993, -29.40456389999997, -63.115785200000005, -29.26071159999998]|[(-63.12613160000001, -29.40456389999997), (-63.12701830000003, -29.402675599999952), (-63.12731389999999, -29.400615599999924), (-63.127905099999964, -29.3994998), (-63.12829919999996, -29.398126599999955), (-63.12810209999998, -29.397611600000005), (-63.12820059999996, -29.397010800000032), (-63.12879179999993, -29.396581599999934), (-63.129284299999995, -29.396066599999983), (-63.12918589999998, -29.395723299999986), (-63.128594699999894, -29.394864999999925), (-63.12829919999996, -29.394178299999965), (-63.127707999999984, -29.392547599999943), (-63.12820059999996, -29.391260099999897), (-63.12849610000001, -29.390745100000004), (-63.1289888, -29.38971509999999), (-63.12879179999993, -29.388341899999944), (-63.127707999999984, -29.387226099999907), (-63.12731389999999, -29.386367699999937), (-63.12701830000003, -29.3856811), (-63.12760939999998, -29.384651099999928), (-63.128196299999956, -29.383449499999983), (-63.127506799999935, -29.382762899999932), (-63.12652179999998, -29.382333699999947), (-63.126718799999935, -29.38130369999999), (-63.1256353, -29.38035960000002), (-63.1240593, -29.379501300000015), (-63.123271299999885, -29.379158000000018), (-63.123074199999905, -29.37795629999988), (-63.12346819999999, -29.377527199999975), (-63.123271299999885, -29.375982199999953), (-63.12287729999997, -29.374008100000026), (-63.122187800000006, -29.372720700000002), (-63.121498299999985, -29.371862399999998), (-63.12002079999996, -29.371776499999953), (-63.119134299999985, -29.371948199999963), (-63.118838700000026, -29.372033999999985), (-63.11844480000002, -29.371089900000015), (-63.11844480000002, -29.37048909999993), (-63.118247800000006, -29.370059899999944), (-63.11765679999996, -29.369544899999994), (-63.117558299999985, -29.368600800000024), (-63.11667179999989, -29.36808579999996), (-63.11677019999996, -29.367313299999978), (-63.11745969999998, -29.366626699999927), (-63.117853699999955, -29.365854199999944), (-63.11765679999996, -29.36508170000002), (-63.11745969999998, -29.364395099999967), (-63.117361299999914, -29.363794299999995), (-63.117262799999935, -29.363279299999988), (-63.11667179999989, -29.3630217999999), (-63.1160807, -29.36293599999999), (-63.115785200000005, -29.362850100000003), (-63.115785200000005, -29.361820199999954), (-63.11588379999995, -29.360961900000007), (-63.11627779999998, -29.360103599999945), (-63.11686879999985, -29.358901899999978), (-63.1182447999999, -29.358301100000006), (-63.11873729999991, -29.357528599999966), (-63.11972209999993, -29.357013699999982), (-63.11991899999998, -29.35564039999997), (-63.12119919999992, -29.355382899999995), (-63.12159309999993, -29.35409539999995), (-63.12031289999999, -29.353494599999976), (-63.12021440000001, -29.352550500000007), (-63.12110069999994, -29.35237879999994), (-63.120903699999985, -29.351606299999958), (-63.12070669999997, -29.35049049999992), (-63.11962349999993, -29.350233000000003), (-63.11873729999991, -29.350662199999988), (-63.1182447999999, -29.3493747), (-63.118835799999886, -29.34791560000002), (-63.11913119999997, -29.346971499999995), (-63.12021440000001, -29.3463706), (-63.12050979999992, -29.34585569999996), (-63.11962349999993, -29.344739899999922), (-63.12031289999999, -29.344053199999962), (-63.12119919999992, -29.343709899999965), (-63.12139609999997, -29.342594099999985), (-63.12159309999993, -29.34173579999998), (-63.12139609999997, -29.34079170000001), (-63.121888499999955, -29.33924669999999), (-63.12307020000003, -29.337100899999996), (-63.12307020000003, -29.335899299999937), (-63.124055, -29.3352127), (-63.12503959999998, -29.334697699999992), (-63.126221399999906, -29.33504099999999), (-63.12661539999999, -29.334611800000005), (-63.12691080000002, -29.333667699999978), (-63.12888019999997, -29.333324400000038), (-63.130652899999916, -29.331350299999997), (-63.131440599999905, -29.330148599999916), (-63.13183459999999, -29.32929029999997), (-63.1310466999999, -29.32843200000002), (-63.130652899999916, -29.32757369999996), (-63.131440599999905, -29.326887099999965), (-63.13045589999996, -29.325599599999975), (-63.13064239999994, -29.3241405), (-63.13005179999993, -29.32336799999996), (-63.13064239999994, -29.322252199999923), (-63.13024859999996, -29.3209647999999), (-63.13024859999996, -29.319677299999967), (-63.13172509999998, -29.31916229999996), (-63.13270949999992, -29.318904799999984), (-63.13241419999997, -29.31744569999995), (-63.13192199999986, -29.3169307), (-63.13290639999997, -29.315557399999932), (-63.13389069999994, -29.316329899999914), (-63.136646799999994, -29.316158200000018), (-63.137631099999965, -29.314699099999984), (-63.13772959999994, -29.313840799999923), (-63.13871389999997, -29.313926600000002), (-63.139501399999915, -29.314784999999972), (-63.13999359999997, -29.315557399999932), (-63.14068259999988, -29.31590080000001), (-63.141962000000035, -29.315299899999957), (-63.14245410000001, -29.315729099999942), (-63.14284779999997, -29.316158200000018), (-63.14383219999996, -29.315814899999964), (-63.144225899999924, -29.31521409999999), (-63.145013300000016, -29.31504239999998), (-63.14580079999996, -29.315471600000023), (-63.14648979999993, -29.315643300000033), (-63.1469818999999, -29.315729099999942), (-63.14776939999996, -29.315471600000023), (-63.147375699999884, -29.314699099999984), (-63.147178800000006, -29.314269999999908), (-63.147867899999994, -29.313926600000002), (-63.14835999999997, -29.313154199999985), (-63.14835999999997, -29.31186669999994), (-63.148950499999955, -29.31075089999996), (-63.14914749999991, -29.309806799999933), (-63.14816309999992, -29.309463499999936), (-63.147375699999884, -29.308862599999998), (-63.14816309999992, -29.307918499999914), (-63.14924579999996, -29.30714599999999), (-63.15091909999995, -29.306373499999893), (-63.15091909999995, -29.3043136), (-63.15160819999994, -29.303197799999964), (-63.15249399999988, -29.303026099999954), (-63.15239559999992, -29.30182450000001), (-63.152100299999915, -29.3001079), (-63.152100299999915, -29.297962099999836), (-63.15249399999988, -29.29684629999997), (-63.15318309999998, -29.29598799999991), (-63.15367529999992, -29.294786399999964), (-63.15426579999996, -29.293584799999962), (-63.154364199999975, -29.29264059999997), (-63.15465949999992, -29.292468999999983), (-63.15544699999998, -29.292039799999998), (-63.15603749999997, -29.29161069999992), (-63.15633279999997, -29.290838199999996), (-63.156825000000026, -29.289894100000026), (-63.15780929999994, -29.289207399999952), (-63.15849839999993, -29.288864099999955), (-63.15948249999991, -29.28929320000003), (-63.16017160000001, -29.289636599999938), (-63.16115589999998, -29.289894100000026), (-63.16154959999989, -29.289722400000016), (-63.162337099999945, -29.288864099999955), (-63.163321399999916, -29.28869239999989), (-63.16440410000001, -29.289121599999874), (-63.16588059999992, -29.289464899999928), (-63.16725859999991, -29.28997989999999), (-63.16804609999997, -29.290580699999964), (-63.168833399999926, -29.29186820000001), (-63.16735699999998, -29.292726499999958), (-63.16676649999988, -29.293241500000022), (-63.16745549999996, -29.293928100000016), (-63.167750799999965, -29.293241500000022), (-63.168833399999926, -29.29264059999997), (-63.169424100000015, -29.292125699999985), (-63.171785999999884, -29.29040900000001), (-63.17267169999997, -29.289894100000026), (-63.17454150000003, -29.28843489999997), (-63.177100099999905, -29.288349100000005), (-63.17749379999998, -29.289121599999874), (-63.17798589999995, -29.289636599999938), (-63.17877309999989, -29.289722400000016), (-63.17926520000003, -29.289035699999943), (-63.17877309999989, -29.287919899999906), (-63.17926520000003, -29.28740499999992), (-63.18015079999992, -29.28740499999992), (-63.18123339999988, -29.2862892), (-63.18241419999998, -29.28611749999999), (-63.1835951999999, -29.28611749999999), (-63.18448089999998, -29.284057599999983), (-63.1841857, -29.28319929999998), (-63.18487449999998, -29.282169299999907), (-63.185464999999965, -29.281568499999935), (-63.185858699999926, -29.280795999999953), (-63.186941099999956, -29.281225199999938), (-63.18812209999999, -29.2804526999999), (-63.18812209999999, -29.27899359999998), (-63.18851569999998, -29.277534399999922), (-63.18920450000002, -29.276590299999953), (-63.1895983, -29.27547450000003), (-63.18920450000002, -29.27478789999998), (-63.18900769999999, -29.27392950000001), (-63.189499799999965, -29.272985399999868), (-63.190385499999934, -29.273071199999947), (-63.19186169999995, -29.271783799999923), (-63.19363299999998, -29.271869600000002), (-63.19471459999994, -29.271783799999923), (-63.19560000000001, -29.270753799999966), (-63.19687899999997, -29.269723799999895), (-63.197567700000036, -29.268951399999935), (-63.19864999999993, -29.268436399999985), (-63.19943699999999, -29.26697729999995), (-63.199928899999975, -29.266548099999966), (-63.20120789999993, -29.266376399999956), (-63.20169980000003, -29.26526059999992), (-63.201503099999854, -29.26448819999996), (-63.20091279999997, -29.26371569999992), (-63.20061759999993, -29.262857399999973), (-63.201404599999876, -29.26148410000002), (-63.20317559999995, -29.26071159999998), (-63.20435609999993, -29.261054900000033)]\n'
b'[-62.979595399999994, -29.550561899999934, -62.97130779999986, -29.543952899999965]|[(-62.979595399999994, -29.544038699999987), (-62.978806099999986, -29.543952899999965), (-62.977622199999985, -29.544124600000032), (-62.97712889999991, -29.544725400000004), (-62.97732619999999, -29.545154500000024), (-62.977030199999945, -29.545669499999974), (-62.97574769999994, -29.546356199999934), (-62.974366399999894, -29.548587699999928), (-62.97357709999994, -29.549446099999898), (-62.9725904, -29.549960999999996), (-62.97130779999986, -29.550561899999934)]\n'
b'[-62.790491900000006, -29.96478079999997, -62.789324599999986, -29.96409410000001]|[(-62.789324599999986, -29.96409410000001), (-62.790491900000006, -29.96478079999997)]\n'
b'[-62.72053669999997, -30.140403899999967, -62.66491689999998, -30.059537799999987]|[(-62.72053669999997, -30.059537799999987), (-62.71897279999996, -30.060052799999994), (-62.717980899999986, -30.061254500000018), (-62.71758419999992, -30.062112799999966), (-62.71837769999996, -30.06297109999997), (-62.717980899999986, -30.06365770000002), (-62.716096600000014, -30.063743499999987), (-62.71490639999996, -30.064086900000007), (-62.714410499999985, -30.06468769999998), (-62.7135179, -30.064773499999944), (-62.71242689999997, -30.064945199999954), (-62.71203009999999, -30.06588929999998), (-62.7135179, -30.067262599999935), (-62.71331950000001, -30.068292600000007), (-62.71212929999996, -30.068635899999947), (-62.71153420000002, -30.06949420000001), (-62.71133579999986, -30.070352499999956), (-62.710443199999986, -30.071468299999992), (-62.709649799999966, -30.07249829999995), (-62.70915379999997, -30.07327069999991), (-62.708757100000014, -30.073871600000018), (-62.70855869999991, -30.074815699999874), (-62.70845959999991, -30.07524490000003), (-62.70806279999994, -30.075416500000017), (-62.70736859999988, -30.07593149999991), (-62.70687269999996, -30.07670399999995), (-62.7061784, -30.076789799999972), (-62.705682499999966, -30.07670399999995), (-62.70449229999991, -30.077562299999954), (-62.70429390000004, -30.078077300000018), (-62.7041946999999, -30.078248900000006), (-62.70469059999999, -30.07859229999997), (-62.7049882, -30.07902139999993), (-62.704591499999935, -30.079879699999992), (-62.70449229999991, -30.080308899999977), (-62.7049882, -30.080823799999962), (-62.70528569999993, -30.081252999999947), (-62.70469059999999, -30.082111300000008), (-62.70449229999991, -30.08279799999997), (-62.70528569999993, -30.083570399999928), (-62.7061784, -30.084772099999952), (-62.70607920000003, -30.085544500000026), (-62.704591499999935, -30.085630400000014), (-62.703798000000006, -30.086574499999983), (-62.703004499999906, -30.087175300000013), (-62.70201270000001, -30.087861999999916), (-62.70131849999996, -30.08863439999999), (-62.70062419999999, -30.088720299999977), (-62.699434, -30.088462800000002), (-62.698541399999954, -30.088033600000017), (-62.69794630000001, -30.087776099999985), (-62.697251999999935, -30.08769030000002), (-62.696458500000006, -30.088033600000017), (-62.695367499999975, -30.088806099999942), (-62.69526830000001, -30.089406899999915), (-62.69477239999992, -30.0898360999999), (-62.694276499999944, -30.090351099999907), (-62.69447489999993, -30.091295199999934), (-62.694375699999966, -30.092153499999995), (-62.69358219999998, -30.09309760000002), (-62.69229289999987, -30.093526800000006), (-62.69110269999999, -30.093870100000004), (-62.68981329999997, -30.094556799999964), (-62.688722299999995, -30.094985899999983), (-62.68704459999992, -30.094470899999976), (-62.68605229999997, -30.094041800000014), (-62.684166999999945, -30.0956726), (-62.68406779999992, -30.097131699999977), (-62.68357159999999, -30.097818299999915), (-62.682579499999974, -30.099363299999936), (-62.68248030000001, -30.100736600000005), (-62.68327399999998, -30.101938200000006), (-62.683770100000004, -30.1026248), (-62.683770100000004, -30.103740599999924), (-62.68357159999999, -30.106058099999927), (-62.684365499999956, -30.107173899999964), (-62.68506009999999, -30.108547199999975), (-62.685556099999985, -30.10940549999998), (-62.68615149999994, -30.110263799999984), (-62.68605229999997, -30.111551200000008), (-62.68575459999994, -30.11232369999999), (-62.68545689999985, -30.113353699999948), (-62.685853799999904, -30.114469499999984), (-62.68625079999998, -30.115499399999862), (-62.68605229999997, -30.116357800000003), (-62.68525850000003, -30.116786899999965), (-62.6844648, -30.11721609999995), (-62.68386929999991, -30.117730999999935), (-62.68347249999988, -30.11841770000001), (-62.68297629999995, -30.118503499999974), (-62.682182599999976, -30.119104299999947), (-62.6816864999999, -30.119962600000008), (-62.680892700000015, -30.120048499999996), (-62.68019809999993, -30.120391799999993), (-62.67980119999987, -30.120992599999965), (-62.679305099999965, -30.121850900000027), (-62.67851129999997, -30.122022599999923), (-62.677915999999925, -30.122537599999987), (-62.67771749999997, -30.12322419999998), (-62.67851129999997, -30.124340000000018), (-62.67851129999997, -30.124511699999914), (-62.67722140000001, -30.125370000000032), (-62.67563389999992, -30.125284099999988), (-62.67503849999997, -30.125284099999988), (-62.67513769999999, -30.126914899999974), (-62.67444319999993, -30.127601599999934), (-62.67384769999995, -30.129575699999975), (-62.67424469999992, -30.130519800000002), (-62.67384769999995, -30.13137809999995), (-62.67483999999996, -30.13215059999993), (-62.67543539999997, -30.133266399999968), (-62.67454239999995, -30.13412470000003), (-62.67384769999995, -30.135326299999974), (-62.67275639999997, -30.135841299999925), (-62.672161099999926, -30.136270500000023), (-62.671168799999975, -30.136699599999986), (-62.6700773, -30.136699599999986), (-62.66848979999992, -30.13730039999996), (-62.665612299999964, -30.13978949999995), (-62.66491689999998, -30.140403899999967)]\n'
b'[-62.61487719999991, -30.202756599999987, -62.600990699999954, -30.1829793]|[(-62.61487719999991, -30.1829793), (-62.61479499999996, -30.183305700000005), (-62.61419929999994, -30.184507300000007), (-62.61330559999999, -30.185623099999987), (-62.61270989999991, -30.186567299999922), (-62.61300789999996, -30.187253899999916), (-62.61350419999991, -30.188283899999874), (-62.61320649999999, -30.18957130000001), (-62.61270989999991, -30.190601300000026), (-62.612014999999985, -30.191545399999995), (-62.61151849999993, -30.192403699999943), (-62.610922800000026, -30.193176199999982), (-62.60853980000002, -30.196437799999956), (-62.607149700000036, -30.198755199999937), (-62.60605749999996, -30.20012849999995), (-62.60446889999997, -30.201244299999985), (-62.60307879999999, -30.20193089999998), (-62.600990699999954, -30.202756599999987)]\n'
b'[-62.66581959999996, -30.182047399999988, -62.61513089999994, -30.149446199999943]|[(-62.66280799999993, -30.149446199999943), (-62.66244499999999, -30.150775899999985), (-62.6635369, -30.151719999999955), (-62.66433089999998, -30.153264899999954), (-62.665124799999944, -30.15429489999991), (-62.66562109999995, -30.154981599999985), (-62.66581959999996, -30.15549649999997), (-62.66581959999996, -30.15626900000001), (-62.66493799999995, -30.156698199999994), (-62.66404439999991, -30.1572132), (-62.66315069999996, -30.158243099999936), (-62.66215779999993, -30.15884389999991), (-62.660866999999996, -30.159101399999997), (-62.65719189999993, -30.15884389999991), (-62.654610499999876, -30.159358899999972), (-62.65232679999991, -30.160560599999997), (-62.64964589999988, -30.16210549999994), (-62.64795800000002, -30.163822099999948), (-62.6463693, -30.165882099999976), (-62.64497929999993, -30.16777030000003), (-62.643688499999996, -30.16888610000001), (-62.641702699999996, -30.16922949999997), (-62.6383267999999, -30.168800299999987), (-62.63723459999994, -30.16862859999992), (-62.6354475, -30.16922949999997), (-62.63405739999996, -30.17000189999993), (-62.632468700000004, -30.170602699999904), (-62.630979399999944, -30.1712035999999), (-62.62978789999994, -30.17206189999996), (-62.62879499999997, -30.173005999999987), (-62.628298499999914, -30.173520999999994), (-62.62690850000001, -30.17377849999997), (-62.626114099999995, -30.17437929999994), (-62.625220499999955, -30.175323399999968), (-62.62442619999996, -30.176782600000024), (-62.6238305, -30.177898399999947), (-62.623234699999955, -30.178756700000008), (-62.62244039999996, -30.179185799999914), (-62.62144749999999, -30.179443300000003), (-62.620553900000004, -30.179958299999953), (-62.61975949999993, -30.18021579999987), (-62.6184687999999, -30.179700799999978), (-62.61777369999993, -30.179271599999993), (-62.61717799999997, -30.179271599999993), (-62.61668149999997, -30.179443300000003), (-62.61598649999996, -30.18038739999986), (-62.61529150000001, -30.18133160000002), (-62.61513089999994, -30.182047399999988)]\n'
b'[-62.59786079999998, -30.213636099999974, -62.593148299999996, -30.205387900000005]|[(-62.59786079999998, -30.205387900000005), (-62.59771710000001, -30.205449999999985), (-62.596724199999926, -30.207252499999925), (-62.59493699999996, -30.208711600000015), (-62.594043399999975, -30.20939820000001), (-62.5946381, -30.210685699999942), (-62.59543259999998, -30.210513999999932), (-62.5964257, -30.210943199999917), (-62.595730499999945, -30.21180149999998), (-62.59483669999997, -30.212230599999884), (-62.593148299999996, -30.21334639999992), (-62.593204300000025, -30.213636099999974)]\n'
b'[-57.27489259999987, -28.963794899999982, -57.273108399999956, -28.96114239999997]|[(-57.27489259999987, -28.963794899999982), (-57.273108399999956, -28.96114239999997)]\n'
