b'bbox|points\n'
b'[-68.23314349999987, -29.995670299999972, -68.23044829999998, -29.994615399999986]|[(-68.23044829999998, -29.995670299999972), (-68.23314349999987, -29.994615399999986)]\n'
b'[-67.93125179999993, -30.57776210000003, -67.92796190000001, -30.57538029999995]|[(-67.92796190000001, -30.57776210000003), (-67.93125179999993, -30.57538029999995)]\n'
b'[-67.86074409999998, -30.728330599999993, -67.8413448, -30.693826599999966]|[(-67.86074409999998, -30.693826599999966), (-67.85744260000001, -30.700328299999967), (-67.85371839999999, -30.7059974), (-67.8485326, -30.711142999999936), (-67.84426489999993, -30.718288400000006), (-67.8413448, -30.72253699999999), (-67.84192989999991, -30.728330599999993)]\n'
b'[-69.43846489999993, -31.423527000000036, -69.42538239999999, -31.385021199999983]|[(-69.42538239999999, -31.423527000000036), (-69.42792599999996, -31.417894299999944), (-69.4295355999999, -31.41154279999995), (-69.4316480999999, -31.407422999999937), (-69.43578019999995, -31.40261649999991), (-69.43846489999993, -31.39858240000001), (-69.43728839999994, -31.395921699999917), (-69.43447309999999, -31.391973399999983), (-69.43336720000002, -31.38939849999997), (-69.43336720000002, -31.38733860000002), (-69.43143350000003, -31.385021199999983)]\n'
b'[-69.42538239999999, -31.42819399999985, -69.42166450000002, -31.423527000000036]|[(-69.42166450000002, -31.42819399999985), (-69.42538239999999, -31.423527000000036)]\n'
b'[-68.2733566, -32.117500299999904, -68.21299140000002, -32.05747059999999]|[(-68.21299140000002, -32.116470299999946), (-68.21400449999999, -32.11689939999991), (-68.21511899999996, -32.117500299999904), (-68.21653729999997, -32.11732860000001), (-68.21724649999993, -32.11595529999988), (-68.21724649999993, -32.11441039999994), (-68.2179557, -32.11338039999998), (-68.2182595999999, -32.11269370000002), (-68.2179557, -32.111148800000024), (-68.21785429999994, -32.11011879999995), (-68.2182595999999, -32.10891720000001), (-68.21937399999985, -32.10968969999999), (-68.22099500000002, -32.108058899999946), (-68.22170419999998, -32.107458099999974), (-68.22342649999996, -32.107458099999974), (-68.22504749999996, -32.10771559999989), (-68.2259593, -32.10780139999997), (-68.22768159999993, -32.10642810000002), (-68.22950529999991, -32.105998899999975), (-68.23001179999994, -32.105569799999955), (-68.23001179999994, -32.104196499999944), (-68.23153149999996, -32.104196499999944), (-68.23224059999995, -32.10505479999989), (-68.23335499999996, -32.1045398), (-68.23213929999991, -32.10368149999999), (-68.2323419999999, -32.10282319999999), (-68.2334563, -32.10213659999994), (-68.2331524999999, -32.10144989999998), (-68.23274709999993, -32.100763299999926), (-68.23254459999998, -32.09981909999988), (-68.23396300000002, -32.09938999999997), (-68.23548259999995, -32.099218299999905), (-68.2375088, -32.09887500000002), (-68.23973769999998, -32.09621420000002), (-68.23953499999999, -32.09484100000003), (-68.2412574, -32.094755099999986), (-68.24338490000002, -32.095012599999905), (-68.24399279999994, -32.0954418), (-68.24480329999994, -32.09630010000001), (-68.24601910000001, -32.096042599999976), (-68.24682960000001, -32.09509839999998), (-68.2463229, -32.093553499999985), (-68.24703209999996, -32.092351899999926), (-68.24774129999997, -32.09149359999998), (-68.24885579999989, -32.090635199999895), (-68.24885579999989, -32.089862799999935), (-68.24875450000002, -32.08866109999991), (-68.24926099999999, -32.08797450000003), (-68.2512873, -32.0870304), (-68.2518950999999, -32.086601199999905), (-68.25311079999994, -32.08617209999994), (-68.25503579999997, -32.08557119999995), (-68.2566566999999, -32.08539959999996), (-68.25655549999993, -32.086515399999996), (-68.25513699999999, -32.0873737), (-68.25442789999994, -32.08771699999994), (-68.25523839999994, -32.08866109999991), (-68.25645420000001, -32.0885753), (-68.2574671999999, -32.08797450000003), (-68.25868299999996, -32.08720199999999), (-68.2590881999999, -32.08634370000004), (-68.2590881999999, -32.08505630000002), (-68.25817639999997, -32.08411209999986), (-68.25858169999992, -32.08222379999995), (-68.25939219999992, -32.0805072), (-68.26000010000001, -32.0793056), (-68.26081059999996, -32.07741729999998), (-68.26060789999997, -32.07655900000003), (-68.25959469999998, -32.07638739999993), (-68.25868299999996, -32.07612990000001), (-68.25827770000001, -32.07552899999996), (-68.2584804, -32.0746706999999), (-68.2612158, -32.07372659999993), (-68.26233020000001, -32.07372659999993), (-68.26293809999993, -32.07321159999998), (-68.2625329, -32.07261080000001), (-68.2625329, -32.07218169999993), (-68.26405259999996, -32.07115169999997), (-68.26496429999997, -32.07097999999996), (-68.26638259999993, -32.071580799999936), (-68.26648399999999, -32.072524999999985), (-68.26861149999996, -32.07218169999993), (-68.26780109999999, -32.070808399999976), (-68.26699059999999, -32.07029339999991), (-68.26668660000001, -32.06917759999999), (-68.26628139999997, -32.06831929999993), (-68.2676998, -32.06660269999992), (-68.2685103, -32.066087700000026), (-68.2695233, -32.065916000000016), (-68.26992859999996, -32.06557269999996), (-68.27063779999992, -32.06411359999993), (-68.27073909999996, -32.06368439999994), (-68.26982729999992, -32.062826099999995), (-68.26982729999992, -32.06119529999995), (-68.27013120000004, -32.06059449999998), (-68.27235999999988, -32.0608519999999), (-68.27317049999988, -32.05939289999998), (-68.2733566, -32.05747059999999)]\n'
b'[-69.04776399999997, -33.506283699999926, -68.98724789999994, -33.46733799999993]|[(-68.98724789999994, -33.506283699999926), (-68.98766169999999, -33.5050392), (-68.98838219999999, -33.50246420000002), (-68.99044069999997, -33.50117679999988), (-68.99215809999998, -33.50153729999994), (-68.99404309999994, -33.5007475999999), (-68.99568979999998, -33.50057599999991), (-68.9971680999999, -33.50055449999991), (-68.99836589999995, -33.498687700000005), (-69.00052749999992, -33.495941099999925), (-69.00052749999992, -33.494996999999955), (-69.00327729999998, -33.4939885), (-69.00618550000002, -33.49250789999991), (-69.00574689999996, -33.49167099999994), (-69.00618550000002, -33.49053379999998), (-69.00628719999997, -33.48993300000001), (-69.00669999999997, -33.489417999999944), (-69.00937419999997, -33.48864549999996), (-69.01050749999996, -33.487615500000004), (-69.01091919999999, -33.487014699999975), (-69.01349179999994, -33.48615640000003), (-69.014521, -33.48529810000002), (-69.01719649999995, -33.484525599999984), (-69.01781389999996, -33.483753200000024), (-69.01781389999996, -33.482723199999896), (-69.0193299, -33.481371399999944), (-69.02141359999985, -33.48130699999996), (-69.02234179999999, -33.48083489999999), (-69.02234179999999, -33.479976599999986), (-69.02118209999998, -33.479375800000014), (-69.02120979999995, -33.478774999999985), (-69.02496369999994, -33.478217099999995), (-69.0277959, -33.47714419999994), (-69.02872199999996, -33.476114199999984), (-69.02975099999992, -33.47474089999997), (-69.03088299999996, -33.47311009999993), (-69.032015, -33.472166000000016), (-69.03479339999996, -33.47208019999999), (-69.03576829999997, -33.47293849999994), (-69.03716029999987, -33.472166000000016), (-69.03885539999987, -33.47120039999993), (-69.04009020000001, -33.47068539999998), (-69.04168519999996, -33.47096439999996), (-69.04325429999994, -33.47049229999999), (-69.04421419999989, -33.4695911), (-69.04591249999999, -33.4683035999999), (-69.04776399999997, -33.46733799999993)]\n'
b'[-56.43551949999994, -28.095538599999998, -56.41509130000003, -28.05543419999998]|[(-56.43391449999996, -28.095538599999998), (-56.43508179999998, -28.09521669999998), (-56.43551949999994, -28.09347859999997), (-56.43406039999985, -28.09270620000001), (-56.43435219999992, -28.0891656), (-56.4328931, -28.088135699999953), (-56.43267420000001, -28.086912600000005), (-56.430193599999996, -28.085560699999974), (-56.430193599999996, -28.083178900000007), (-56.428661499999976, -28.08195589999997), (-56.427932, -28.080539699999918), (-56.42661879999997, -28.080217799999957), (-56.425889099999836, -28.07719229999998), (-56.41757200000001, -28.070690600000034), (-56.41625859999988, -28.06869499999999), (-56.41757200000001, -28.06064839999999), (-56.41509130000003, -28.05543419999998)]\n'
b'[-67.19440609999998, -28.29824500000001, -67.19381019999997, -28.296206299999994]|[(-67.19440609999998, -28.296206299999994), (-67.19412349999999, -28.297948799999972), (-67.19381019999997, -28.29824500000001)]\n'
b'[-63.62116649999996, -28.607282699999928, -63.617702699999995, -28.59956269999998]|[(-63.620384400000034, -28.607282699999928), (-63.620384400000034, -28.605909300000008), (-63.62106879999999, -28.60324849999995), (-63.62116649999996, -28.602046900000005), (-63.6190158, -28.60041609999996), (-63.617702699999995, -28.59956269999998)]\n'
