Nr	Name
9	Alfalfa
5	Asparagus
46	Blue Vervain
10	Broadleaf Plantain
8	Bull Thistle
45	Cattail
3	Chickweed
6	Chicory
44	Cleavers
49	Coltsfoot
48	Common Sow Thistle
47	Common Yarrow
18	Coneflower
11	Creeping Charlie
52	Crimson Clover
4	Curly Dock
55	Daisy Fleabane
2	Dandellion
54	Downy Yellow Violet
16	Elderberry
53	Evening Primrose
50	Fern Leaf Yarrow
17	Field Pennycress
1	Fireweed
12	Forget Me Not
13	Garlic Mustard
15	Harebell
51	Henbit
39	Herb Robert
56	Japanese Knotweed
41	Joe Pye Weed
42	Knapweed
19	Kudzu
58	Lambs Quarters
21	Mallow
40	Mayapple
20	Meadowsweet
57	Milk Thistle
25	Mullein
61	New England Aster
27	Partridgeberry
22	Peppergrass
24	Pickerelweed
23	Pineapple Weed
38	Prickly Pear Cactus
60	Purple Deadnettle
59	Queen Annes Lace
26	Red Clover
28	Sheep Sorrel
29	Shepherds Purse
31	Spring Beauty
30	Sunflower
62	Supplejack Vine
32	Tea Plant
34	Teasel
33	Toothwort
37	Vervain Mallow
36	Wild Bee Balm
14	Wild Black Cherry
35	Wild Grape Vine
43	Wild Leek
7	Wood Sorrel
