movie,rating
Happy Death Day (2017),0
Captain Marvel (2018),0
Riders of Justice (2020),0
Star Wars: The Rise of Skywalker (2019),0
Kingdom of the Planet of the Apes (2024),0
TPB AFK: The Pirate Bay Away from Keyboard (2013),0
Unstoppable (2018),0
The Merciless (2017),0
Apollo 11 (2019),0
"Heat, The (2013)",0
Blue Planet II (2017),0
Planet Earth II (2016),0
Gifted (2017),0
The Theory of Everything (2014),0
Special 26 (2013),0
Badla (2019),0
Trash (2014),0
"Hunt, The (Jagten) (2012)",0
The Villainess (2017),0
Peaceful Warrior (2006),0
Let the Right One In (Låt den rätte komma in) (2008),0
Grindhouse (2007),0
Sin City: A Dame to Kill For (2014),0
"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",0
"Timecrimes (Cronocrímenes, Los) (2007)",0
"Time Traveler's Wife, The (2009)",0
Mr. Nobody (2009),0
3 Idiots (2009),0
Midsommar (2019),0
Louis C.K.: Shameless (2007),0
Louis C.K.: Chewed Up (2008),0
Louis C.K.: Hilarious (2010),0
"Final Destination, The (Final Destination 4) (Final Destination in 3-D, The) (2009)",0
Iron Sky (2012),0
Johnny English Strikes Again (2018),0
Johnny English (2003),0
Johnny English Reborn (2011),0
Resident Evil: Retribution (2012),0
"Chronicles of Narnia: Prince Caspian, The (2008)",0
Resident Evil: The Final Chapter (2017),0
Resident Evil: Afterlife (2010),0
Ultraviolet (2006),0
1408 (2007),0
Nameless Gangster (Bumchoiwaui junjaeng) (2012),0
Percy Jackson & the Olympians: The Lightning Thief (2010),0
Fifty Shades of Grey (2015),0
Public Enemies (2009),0
Hanna (2011),0
Untitled Spider-Man Reboot (2017),0
Deadpool: No Good Deed (2017),0
Contagion (2011),0
The Girl with All the Gifts (2016),0
Journey 2: The Mysterious Island (2012),0
"Power of the Dog, The (2021)",0
Ted (2012),0
A Cure for Wellness (2017),0
Season of the Witch (2011),0
Blue Is the Warmest Color (La vie d'Adèle) (2013),0
Bill Burr: I'm Sorry You Feel That Way (2014),0
Space Sweepers (2021),0
Maleficent (2014),0
Nymphomaniac: Volume I (2013),0
Nymphomaniac: Volume II (2013),0
Sucker Punch (2011),0
Colombiana (2011),0
Ghostbusters (2016),0
Atomic Blonde (2017),0
Alita: Battle Angel (2019),0
Anna (2019),0
Salt (2010),0
Zero Dark Thirty (2012),0
Final Destination 5 (2011),0
Get the Gringo (2012),0
Rocketman (2019),0
Loveless (2017),0
"Debt, The (2011)",0
Wonder (2017),0
11.22.63 (2016),0
Hardcore Henry (2015),0
Dracula Untold (2014),0
Allied (2016),0
Sully (2016),0
"Running Man, The (1987)",4
"Dark Knight, The (2008)",3
The Dark Knight (2011),0
"Dark Knight Rises, The (2012)",3
The Batman (2022),3
Bohemian Rhapsody (2018),0
Sing Street (2016),0
Stoker (2013),0
Better Watch Out (2016),0
Free to Play (2014),0
Fantastic Beasts and Where to Find Them 2 (2018),0
Whiplash (2014),0
Whiplash (2013),0
10 Cloverfield Lane (2016),0
It (2017),0
"Pact, The (2012)",0
Teenage Mutant Ninja Turtles: Out of the Shadows (2016),0
Louis C.K.: Live at The Comedy Store (2015),0
"Way, Way Back, The (2013)",0
The Founder (2016),0
Icarus (2017),0
Get Out (2017),0
Dave Chappelle: The Bird Revelation (2017),0
Dave Chappelle: Equanimity (2017),0
Marlon Wayans: Woke-ish (2018),0
Dave Chappelle: The Age of Spin (2017),0
Beasts of No Nation (2015),0
Racing Extinction (2015),0
"Mortal Instruments: City of Bones, The (2013)",0
King of Thieves (2018),0
"Help, The (2011)",0
La La Land (2016),0
"Grand Budapest Hotel, The (2014)",0
Dirty Grandpa (2016),0
Going in Style (2017),0
Silver Linings Playbook (2012),0
The Intern (2015),0
The Walk (2015),0
Dallas Buyers Club (2013),0
The Raid: Redemption (2011),0
Lion (2016),0
Me Before You (2016),0
G.I. Jane (1997),0
Behind Enemy Lines (2001),0
The Last Witch Hunter (2015),0
King Arthur (2004),0
Megan Leavey (2017),0
We Own the Night (2007),0
Lawless (2012),0
Fighting with My Family (2019),0
Discarnate (2019),0
Extreme Job (2019),0
Aladdin (2019),0
Glass (2019),0
Maleficent: Mistress of Evil (2019),0
Green Book (2018),0
Booksmart (2019),0
Tomb Raider (2018),0
Ex Machina (2015),0
Hidden Figures (2016),0
Game of Thrones: The Last Watch (2019),0
Enemy at the Gates (2001),0
First Man (2018),0
"Chronicles of Narnia: The Voyage of the Dawn Treader, The (2010)",0
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",0
Centurion (2010),0
Disobedience (2018),0
The Boy Who Harnessed the Wind (2019),0
At the Heart of Gold: Inside the USA Gymnastics Scandal (2019),0
Pokémon: Detective Pikachu (2019),0
Leaving Neverland (2019),0
Dolemite Is My Name (2019),0
Drive (2011),4
The Purge: Election Year (2016),4
Assassin's Creed (2016),3
Reservoir Dogs (1992),4
Jurassic Park (1993),4
Jurassic World (2015),4
Jurassic World: Fallen Kingdom (2018),3
Black Panther (2017),4
The Cloverfield Paradox (2018),2
Back to the Future (1985),5
Back to the Future Part III (1990),5
Back to the Future Part II (1989),5
Mission: Impossible - Fallout (2018),4
Ant-Man and the Wasp (2018),3
Pacific Rim: Uprising (2018),5
Deadpool 2 (2018),3
Rampage (2018),3
Upgrade (2018),4
Dunkirk (2017),2
Baby Driver (2017),4
Blade Runner (1982),2
Blade Runner 2049 (2017),3
Logan (2017),3
Doctor Strange (2016),5
Deadpool (2016),3
I Am Legend (2007),4
Coco (2017),3
The Martian (2015),5
Interstellar (2014),4
Guardians of the Galaxy (2014),3
U-571 (2000),3
Charlie's Angels (2000),5
John Carter (2012),3
Incredibles 2 (2018),4
Red Sparrow (2018),1
Den of Thieves (2018),4
The Revenant (2015),5
Sicario: Day of the Soldado (2018),3
Tag (2018),2
"Matrix, The (1999)",5
Captain America: The First Avenger (2011),4
Captain America: Civil War (2016),4
Captain America: The Winter Soldier (2014),5
"Avengers, The (2012)",5
Avengers: Age of Ultron (2015),4
Avengers: Infinity War - Part I (2018),5
Avengers: Infinity War - Part II (2019),5
Guardians of the Galaxy 2 (2017),3
John Wick: Chapter Two (2017),5
John Wick (2014),5
John Wick: Chapter 3 – Parabellum (2019),5
Kingsman: The Golden Circle (2017),5
Jumanji: Welcome to the Jungle (2017),3
"Equalizer, The (2014)",5
The Equalizer 2 (2018),4
The Equalizer 3 (2023)",4
Mission: Impossible - Ghost Protocol (2011),4
Arrival (2016),4
Kingsman: The Secret Service (2015),5
Mad Max: Fury Road (2015),4
Edge of Tomorrow (2014),5
Inception (2010),4
"Prestige, The (2006)",3
"Lord of the Rings: The Return of the King, The (2003)",4
"Lord of the Rings: The Two Towers, The (2002)",4
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4
Fight Club (1999),5
Passengers (2016),5
"King's Speech, The (2010)",4
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5
Batman Begins (2005),5
Aliens (1986),4
Star Trek Beyond (2016),2
Ant-Man (2015),4
The Imitation Game (2014),4
"Wolf of Wall Street, The (2013)",4
Star Trek (2009),5
