Date,EURTRY=X,TRYUSD=X,GBPTRY=X,USDEUR=X,USDGBP=X,JPYUSD=X,GBPEUR=X,TRYCHF=X,CHFUSD=X,CHFEUR=X,TRYDKK=X,TRYJPY=X,CADUSD=X,DKKUSD=X,NOKUSD=X,SEKUSD=X,JPYEUR=X,USDAUD=X
2009-12-31,2.1483,0.667423,2.4224,0.69798,0.61797,0.010763,1.1274,0.68921,0.966931,0.67408,,62.07,0.95039,0.192637,0.17301,0.141281,0.007509999999999999,1.1132
2010-01-01,,,,0.69493,0.61985,0.010762,1.1228,,0.967211,0.6734899999999999,,,0.9512940000000001,0.194077,0.173295,0.141281,0.00747,1.113
2010-01-04,2.1252,0.678841,2.3738,0.69329,0.62059,0.010811,1.1167,0.69735,0.971723,0.6735800000000001,,62.68,0.960615,0.193859,0.175285,0.142003,0.0075,1.0959
2010-01-05,2.1153,0.679025,2.3547,0.69609,0.62536,0.010919,1.1129,0.70084,0.967399,0.67343,,62.09,0.962001,0.19309500000000002,0.175015,0.14089100000000002,0.0076,1.0967
2010-01-06,2.1226,0.679625,2.3612,0.69425,0.62407,0.010828,1.1121,0.6963,0.973141,0.6754899999999999,,62.5,0.969086,0.193652,0.17647000000000002,0.141381,0.007520000000000001,1.0864
2010-01-07,2.1075,0.679579,2.3449,0.6984199999999999,0.62759,0.010708,1.1125,0.70111,0.967492,0.6755800000000001,3.5247,63.189999,0.967118,0.19243,0.17521099999999998,0.140416,0.00748,1.0896
2010-01-08,2.1005,0.685871,2.3352,0.69391,0.6240600000000001,0.010792,1.1111,0.70128,0.976944,0.6775100000000001,3.5365,63.299999,0.9710620000000001,0.193693,0.176853,0.14138699999999998,0.007490000000000001,1.081
2010-01-11,2.105,0.6895600000000001,2.3374,0.68912,0.62062,0.010859,1.1099,0.69968,0.983574,0.67777,3.5289,63.23,0.967305,0.195019,0.178358,0.142078,0.00748,1.0756
2010-01-12,2.1052,0.687994,2.3489,0.69077,0.6191300000000001,0.010979000000000001,1.1154,0.69955,0.981547,0.67783,3.5284,62.400002,0.9622790000000001,0.19464,0.176494,0.141625,0.00758,1.0864
2010-01-13,2.1094,0.688895,2.3655,0.68852,0.61402,0.010937,1.1211,0.6994199999999999,0.9827040000000001,0.6766399999999999,3.5213,62.720001,0.9701200000000001,0.195232,0.177585,0.142511,0.007529999999999999,1.082
2010-01-14,2.1116,0.6873319999999999,2.379,0.68966,0.61222,0.010957,1.1262,0.69845,0.98174,0.67686,3.5179,62.48,0.9771350000000001,0.194909,0.177601,0.142741,0.007559999999999999,1.0737
2010-01-15,2.0959,0.686813,2.3695,0.69488,0.61463,0.011019,1.1302,0.70303,0.9757049999999999,0.6776399999999999,3.545,62.07,0.971817,0.193397,0.176243,0.141559,0.00765,1.0838
2010-01-18,2.0896,0.689465,2.3725,0.69412,0.61151,0.011025,1.1349,0.7047100000000001,0.976944,0.67797,3.5554,62.240002000000004,0.9758,0.193682,0.177399,0.142904,0.00765,1.0783
2010-01-19,2.0795,0.687049,2.3825,0.70023,0.61137,0.010965,1.1451,0.70815,0.9684290000000001,0.67787,3.5726,62.369999,0.969274,0.191916,0.17584,0.14168499999999998,0.007679999999999999,1.0839
2010-01-20,2.0798,0.679163,2.4031,0.7087,0.61357,0.010966,1.1546,0.70703,0.9582219999999999,0.67884,3.5723,61.630001,0.9567549999999999,0.189613,0.173292,0.138989,0.00777,1.0971
2010-01-21,2.0954,0.6729930000000001,2.4075,0.70937,0.6170899999999999,0.011063,1.1491,0.69981,0.960061,0.68083,3.5457,60.580002,0.951837,0.189473,0.171957,0.138188,0.00784,1.1055
2010-01-22,2.1043,0.671817,2.3987,0.70716,0.62073,0.011134999999999999,1.139,0.69826,0.9598770000000001,0.67898,3.5324,60.009997999999996,0.945716,0.189973,0.172342,0.138217,0.00787,1.1096
2010-01-25,2.1028,0.672902,2.4148,0.7067100000000001,0.61538,0.011059999999999999,1.1479,0.6986399999999999,0.9615379999999999,0.6794399999999999,3.5347,60.610001000000004,0.9461629999999999,0.190089,0.172079,0.138179,0.007809999999999999,1.105
2010-01-26,2.0989,0.6710510000000001,2.4041,0.71011,0.61931,0.011156999999999999,1.1462,0.7006,0.9561139999999999,0.67884,3.5415,60.099998,0.9415309999999999,0.189115,0.171016,0.13737,0.00792,1.1109
2010-01-27,2.1026,0.667289,2.4246,0.7127100000000001,0.61812,0.011117,1.1527,0.6993,0.9526530000000001,0.67891,3.535,59.950001,0.940203,0.188469,0.17106300000000002,0.13710999999999998,0.00792,1.1157
2010-01-28,2.0911,0.6680470000000001,2.4167,0.71592,0.61946,0.011139,1.1554,0.70139,0.950751,0.68061,3.554,59.889998999999996,0.937998,0.187656,0.169854,0.135993,0.00797,1.1191
2010-01-29,2.0747,0.6683600000000001,2.3917,0.72114,0.62559,0.011078,1.1525,0.70762,0.942685,0.67995,3.5826,59.91,0.934579,0.186331,0.168845,0.135551,0.00799,1.1308
