DATE,SP500,10yr,oil,djia,usd
2013-01-01,,,,,
2013-01-02,1462.42,,93.14,13412.55,73.3738
2013-01-03,1459.37,,92.97,13391.36,73.5749
2013-01-04,1466.47,1.87,93.12,13435.21,73.9555
2013-01-07,1461.89,,93.2,13384.29,73.7475
2013-01-08,1457.15,,93.21,13328.85,73.82
2013-01-09,1461.02,,93.08,13390.51,73.8665
2013-01-10,1472.12,,93.81,13471.22,73.4917
2013-01-11,1472.05,1.9,93.6,13488.43,73.2962
2013-01-14,1470.68,,94.27,13507.32,73.3054
2013-01-15,1472.34,,93.26,13534.89,73.3087
2013-01-16,1472.63,,94.28,13511.23,73.4525
2013-01-17,1480.94,,95.49,13596.02,73.4673
2013-01-18,1485.98,1.87,95.61,13649.7,73.8888
2013-01-21,,,,,
2013-01-22,1492.56,,96.09,13712.21,73.6783
2013-01-23,1494.81,,95.06,13779.33,73.7734
2013-01-24,1494.82,,95.35,13825.33,73.9448
2013-01-25,1502.96,1.9,95.15,13895.98,74.0123
2013-01-28,1500.18,,95.95,13881.93,73.9942
2013-01-29,1507.84,,97.62,13954.42,73.7794
2013-01-30,1501.96,,97.98,13910.42,73.6266
2013-01-31,1498.11,,97.65,13860.58,73.4909
2013-02-01,1513.17,2.02,97.46,14009.79,73.4267
2013-02-04,1495.71,,96.21,13880.08,73.7754
2013-02-05,1511.29,,96.68,13979.3,73.8148
2013-02-06,1512.12,,96.44,13986.52,73.9221
2013-02-07,1509.39,,95.84,13944.05,74.2894
2013-02-08,1517.93,2.0,95.71,13992.97,74.2812
2013-02-11,1517.01,,97.01,13971.24,74.4146
2013-02-12,1519.43,,97.48,14018.7,74.2146
2013-02-13,1520.33,,97.03,13982.91,74.2555
2013-02-14,1521.38,,97.3,13973.39,74.474
2013-02-15,1519.79,2.01,95.95,13981.76,74.6156
2013-02-18,,,,,
2013-02-19,1530.94,,96.69,14035.67,74.6724
2013-02-20,1511.95,,94.92,13927.54,74.9189
2013-02-21,1502.42,,92.79,13880.62,75.2774
2013-02-22,1515.6,2.0,93.12,14000.57,75.4853
2013-02-25,1487.85,,92.74,13784.17,75.6246
2013-02-26,1496.94,,92.63,13900.13,75.6869
2013-02-27,1515.99,,92.84,14075.37,75.564
2013-02-28,1514.68,,92.03,14054.49,75.7396
2013-03-01,1518.2,1.88,90.71,14089.66,76.1824
2013-03-04,1525.2,,90.13,14127.82,76.162
2013-03-05,1539.79,,90.88,14253.77,76.0746
2013-03-06,1541.46,,90.47,14296.24,76.2646
2013-03-07,1544.26,,91.53,14329.49,76.1442
2013-03-08,1551.18,1.96,92.01,14397.07,76.5413
2013-03-11,1556.22,,92.07,14447.29,76.4852
2013-03-12,1552.48,,92.44,14450.06,76.4075
2013-03-13,1554.52,,92.47,14455.28,76.6204
2013-03-14,1563.23,,93.03,14539.14,76.5022
2013-03-15,1560.7,2.04,93.49,14514.11,75.9397
2013-03-18,1552.1,,93.71,14452.06,76.232
2013-03-19,1548.34,,92.44,14455.82,76.5076
2013-03-20,1558.71,,93.21,14511.73,76.4233
2013-03-21,1545.8,,92.46,14421.49,76.3321
2013-03-22,1556.89,1.94,93.41,14512.03,76.0305
2013-03-25,1551.69,,94.55,14447.75,76.3102
2013-03-26,1563.77,,95.99,14559.65,76.2416
2013-03-27,1562.85,,96.53,14526.16,76.4888
2013-03-28,1569.19,,97.24,14578.54,76.222
2013-03-29,,1.9,,,76.3538
2013-04-01,1562.17,,97.1,14572.85,76.1008
2013-04-02,1570.25,,97.23,14662.01,76.1659
2013-04-03,1553.69,,95.02,14550.35,76.0281
2013-04-04,1559.98,,93.26,14606.11,76.4323
2013-04-05,1553.28,1.81,92.76,14565.25,76.1241
2013-04-08,1563.07,,93.36,14613.48,76.4708
2013-04-09,1568.61,,94.18,14673.46,76.1556
2013-04-10,1587.73,,94.59,14802.24,76.2642
2013-04-11,1593.37,,93.44,14865.14,75.9461
2013-04-12,1588.85,1.79,91.23,14865.06,76.0456
2013-04-15,1552.36,,88.75,14599.2,76.1658
2013-04-16,1574.57,,88.73,14756.78,76.0466
2013-04-17,1552.01,,86.65,14618.59,76.3942
2013-04-18,1541.61,,87.83,14537.14,76.3846
2013-04-19,1555.25,1.73,88.04,14547.51,76.5611
2013-04-22,1562.5,,88.81,14567.17,76.6091
2013-04-23,1578.78,,89.21,14719.46,76.7481
2013-04-24,1578.79,,91.07,14676.3,76.8284
2013-04-25,1585.16,,93.27,14700.8,76.5537
2013-04-26,1582.24,1.73,92.63,14712.55,76.2324
2013-04-29,1593.61,,94.09,14818.75,76.003
2013-04-30,1597.57,,93.22,14839.8,75.5569
2013-05-01,1582.7,,90.74,14700.95,75.4898
2013-05-02,1597.59,,93.7,14831.58,75.9185
2013-05-03,1614.42,1.7,95.25,14973.96,75.9041
2013-05-06,1617.5,,95.8,14968.89,76.0783
2013-05-07,1625.96,,95.28,15056.2,75.9909
2013-05-08,1632.69,,96.24,15105.12,75.6481
2013-05-09,1626.67,,96.09,15082.62,75.9053
2013-05-10,1633.7,1.83,95.81,15118.49,76.9488
2013-05-13,1633.77,,94.76,15091.68,76.8815
2013-05-14,1650.34,,93.96,15215.25,77.083
2013-05-15,1658.78,,93.95,15275.69,77.4867
2013-05-16,1650.47,,94.85,15233.22,77.2805
2013-05-17,1667.47,1.93,95.72,15354.4,77.9178
2013-05-20,1666.29,,96.29,15335.28,77.7056
2013-05-21,1669.16,,95.55,15387.58,77.6053
2013-05-22,1655.35,,93.98,15307.17,78.0983
2013-05-23,1650.51,,94.12,15294.5,77.5548
2013-05-24,1649.6,1.99,93.84,15303.1,77.5448
2013-05-27,,,,,
2013-05-28,1660.06,,94.65,15409.39,77.9816
2013-05-29,1648.36,,93.13,15302.8,77.5929
2013-05-30,1654.41,,93.57,15324.53,77.1792
2013-05-31,1630.74,2.14,91.93,15115.57,77.3766
2013-06-03,1640.42,,93.41,15254.03,76.6554
2013-06-04,1631.38,,93.36,15177.54,77.0209
2013-06-05,1608.9,,93.66,14960.59,76.8385
2013-06-06,1622.56,,94.71,15040.62,75.9329
2013-06-07,1643.38,2.12,96.11,15248.12,75.8662
2013-06-10,1642.81,,95.82,15238.59,76.056
2013-06-11,1626.13,,95.5,15122.02,75.6874
2013-06-12,1612.52,,95.98,14995.23,75.2524
2013-06-13,1636.36,,96.66,15176.08,75.1393
2013-06-14,1626.73,2.2,97.83,15070.18,75.1127
2013-06-17,1639.04,,97.86,15179.85,75.1746
2013-06-18,1651.81,,98.46,15318.23,75.1593
2013-06-19,1628.93,,98.24,15112.19,75.0907
2013-06-20,1588.19,,94.89,14758.32,76.519
2013-06-21,1592.43,2.33,93.81,14799.4,76.9177
2013-06-24,1573.09,,95.07,14659.56,77.1211
2013-06-25,1588.03,,95.25,14760.31,77.1244
2013-06-26,1603.26,,95.47,14910.14,77.1798
2013-06-27,1613.2,,97.0,15024.49,77.3588
2013-06-28,1606.28,2.55,96.36,14909.6,77.5759
2013-07-01,1614.96,,97.94,14974.96,77.4363
2013-07-02,1614.08,,99.65,14932.41,77.7689
2013-07-03,1615.41,,101.92,14988.55,77.6792
2013-07-04,,,,,
2013-07-05,1631.89,2.56,103.09,15135.84,78.5419
2013-07-08,1640.46,,103.03,15224.69,78.4896
2013-07-09,1652.32,,103.46,15300.34,78.6603
2013-07-10,1652.62,,106.41,15291.66,78.2665
