DATE,SP500,10yr,oil,djia,usd
2013-07-11,1675.02,,104.77,15460.92,77.2222
2013-07-12,1680.19,2.64,105.85,15464.3,77.3177
2013-07-15,1682.5,,106.2,15484.26,77.4743
2013-07-16,1676.26,,105.88,15451.85,77.0024
2013-07-17,1680.91,,106.39,15470.52,77.2159
2013-07-18,1689.37,,107.94,15548.54,77.3286
2013-07-19,1692.09,2.54,108.0,15543.74,77.0027
2013-07-22,1695.53,,106.61,15545.55,76.6676
2013-07-23,1692.39,,107.13,15567.74,76.5782
2013-07-24,1685.94,,105.41,15542.24,76.5971
2013-07-25,1690.25,,105.47,15555.61,76.482
2013-07-26,1691.65,2.57,104.76,15558.83,76.2125
2013-07-29,1685.33,,104.61,15521.97,76.1225
2013-07-30,1685.96,,103.14,15520.59,76.3
2013-07-31,1685.73,,105.1,15499.54,76.3379
2013-08-01,1706.87,,107.93,15628.02,76.7693
2013-08-02,1709.67,2.64,106.94,15658.36,76.6438
2013-08-05,1707.14,,106.61,15612.13,76.6089
2013-08-06,1697.37,,105.32,15518.74,76.3636
2013-08-07,1690.91,,104.41,15470.67,76.1403
2013-08-08,1697.48,,103.45,15498.32,75.7145
2013-08-09,1691.42,2.62,106.04,15425.51,75.7771
2013-08-12,1689.47,,106.19,15419.68,75.8759
2013-08-13,1694.16,,106.78,15451.01,76.3892
2013-08-14,1685.39,,106.89,15337.66,76.2797
2013-08-15,1661.32,,107.43,15112.19,76.2561
2013-08-16,1655.83,2.73,107.58,15081.47,76.0466
2013-08-19,1646.06,,107.14,15010.74,75.9941
2013-08-20,1652.35,,104.9,15002.99,75.785
2013-08-21,1642.8,,103.93,14897.55,76.1674
2013-08-22,1656.96,,104.93,14963.74,76.4708
2013-08-23,1663.5,2.86,106.48,15010.51,76.3938
2013-08-26,1656.78,,105.88,14946.46,76.472
2013-08-27,1630.48,,109.11,14776.13,76.2634
2013-08-28,1634.96,,110.17,14824.51,76.4364
2013-08-29,1638.17,,108.51,14840.95,76.8947
2013-08-30,1632.97,2.76,107.98,14810.31,77.0156
2013-09-02,,,,,
2013-09-03,1639.77,,108.67,14833.96,77.1378
2013-09-04,1653.08,,107.29,14930.87,76.8683
2013-09-05,1655.08,,108.5,14937.48,77.2439
2013-09-06,1655.17,2.92,110.62,14922.5,76.7215
2013-09-09,1671.71,,109.62,15063.12,76.4425
2013-09-10,1683.99,,107.48,15191.06,76.4955
2013-09-11,1689.13,,107.65,15326.6,76.2943
2013-09-12,1683.42,,108.72,15300.64,76.1183
2013-09-13,1687.99,2.92,108.31,15376.06,76.2802
2013-09-16,1697.6,,106.54,15494.78,75.9352
2013-09-17,1704.76,,105.36,15529.73,75.8849
2013-09-18,1725.52,,108.23,15676.94,75.9091
2013-09-19,1722.34,,106.26,15636.55,75.2753
2013-09-20,1709.91,2.79,104.7,15451.09,75.4186
2013-09-23,1701.84,,103.62,15401.38,75.3298
2013-09-24,1697.42,,103.22,15334.59,75.4414
2013-09-25,1692.77,,102.68,15273.26,75.2936
2013-09-26,1698.67,,103.1,15328.3,75.5464
2013-09-27,1691.75,2.66,102.86,15258.24,75.2496
2013-09-30,1681.55,,102.36,15129.67,75.1935
2013-10-01,1695.0,,102.09,15191.7,75.2495
2013-10-02,1693.87,,104.15,15133.14,75.0209
2013-10-03,1678.66,,103.29,14996.48,74.8607
2013-10-04,1690.5,2.64,103.83,15072.58,75.0307
2013-10-07,1676.12,,103.07,14936.24,75.0337
2013-10-08,1655.45,,103.54,14776.53,75.0383
2013-10-09,1656.4,,101.63,14802.98,75.4509
2013-10-10,1692.56,,103.08,15126.07,75.463
2013-10-11,1703.2,2.68,102.17,15237.11,75.4592
2013-10-14,1710.14,,102.46,15301.26,
2013-10-15,1698.06,,101.15,15168.01,75.5979
2013-10-16,1721.54,,102.34,15373.83,75.6153
2013-10-17,1733.15,,100.72,15371.65,74.8022
2013-10-18,1744.5,2.66,100.87,15399.65,74.718
2013-10-21,1744.66,,99.28,15392.2,74.841
2013-10-22,1754.67,,97.63,15467.66,74.5269
2013-10-23,1746.38,,96.9,15413.33,74.6405
2013-10-24,1752.07,,96.65,15509.21,74.6755
2013-10-25,1759.77,2.55,97.4,15570.28,74.7973
2013-10-28,1762.11,,98.74,15568.93,74.8499
2013-10-29,1771.95,,98.29,15680.35,74.994
2013-10-30,1763.31,,96.81,15618.76,75.004
2013-10-31,1756.54,,96.29,15545.75,75.3804
2013-11-01,1761.64,2.57,94.56,15615.55,75.8158
2013-11-04,1767.93,,94.58,15639.12,75.6371
2013-11-05,1762.97,,93.4,15618.22,75.7861
2013-11-06,1770.49,,94.74,15746.88,75.5629
2013-11-07,1747.15,,94.25,15593.98,75.9587
2013-11-08,1770.61,2.68,94.56,15761.78,76.2562
2013-11-11,1771.89,,95.13,15783.1,
2013-11-12,1767.69,,93.12,15750.67,76.2498
2013-11-13,1782.0,,93.91,15821.63,76.0229
2013-11-14,1790.62,,93.76,15876.22,76.1136
2013-11-15,1798.18,2.74,93.8,15961.7,76.0106
2013-11-18,1791.53,,93.03,15976.02,75.8135
2013-11-19,1787.87,,93.35,15967.03,75.8915
2013-11-20,1781.37,,93.34,15900.82,76.0138
2013-11-21,1795.85,,95.35,16009.99,76.2372
2013-11-22,1804.76,2.74,94.53,16064.77,76.131
2013-11-25,1802.48,,93.86,16072.54,76.363
2013-11-26,1802.75,,93.41,16072.8,76.1717
2013-11-27,1807.23,,92.05,16097.33,76.3365
2013-11-28,,,,,
2013-11-29,1805.81,2.74,92.55,16086.41,76.206
2013-12-02,1800.9,,93.61,16008.77,76.4854
2013-12-03,1795.15,,95.83,15914.62,76.3022
2013-12-04,1792.81,,96.97,15889.77,76.5582
2013-12-05,1785.03,,97.14,15821.51,76.0863
2013-12-06,1805.09,2.84,97.48,16020.2,76.1912
2013-12-09,1808.37,,97.1,16025.53,76.0775
2013-12-10,1802.62,,98.32,15973.13,
2013-12-11,1782.22,,97.25,15843.53,75.7402
2013-12-12,1775.5,,97.21,15739.43,76.0825
2013-12-13,1775.32,2.86,96.27,15755.36,76.0636
2013-12-16,1786.54,,97.18,15884.57,75.8953
2013-12-17,1781.0,,96.99,15875.26,75.9864
2013-12-18,1810.65,,97.59,16167.97,76.0346
2013-12-19,1809.6,,98.4,16179.08,76.4793
2013-12-20,1818.32,2.89,99.11,16221.14,76.4481
2013-12-23,1827.99,,98.62,16294.61,76.2129
2013-12-24,1833.32,,98.87,16357.55,76.3311
2013-12-25,,,,,
2013-12-26,1842.02,,99.18,16479.88,76.4029
2013-12-27,1841.4,2.99,99.94,16478.41,76.324
2013-12-30,1841.07,,98.9,16504.29,76.0452
2013-12-31,1848.36,,98.17,16576.66,76.1421
2014-01-01,,,,,
2014-01-02,1831.98,,95.14,16441.35,76.426
2014-01-03,1831.37,3.01,93.66,16469.99,76.4948
2014-01-06,1826.77,,93.12,16425.1,76.5215
2014-01-07,1837.88,,93.31,16530.94,76.7806
2014-01-08,1837.49,,91.9,16462.74,77.0161
2014-01-09,1838.13,,91.36,16444.76,77.0904
2014-01-10,1842.37,2.96,92.39,16437.05,76.9301
2014-01-13,1819.2,,91.45,16257.94,76.8045
2014-01-14,1838.88,,92.15,16373.86,76.8901
2014-01-15,1848.38,,93.78,16481.94,77.2014
2014-01-16,1845.89,,93.54,16417.01,77.2249
2014-01-17,1838.7,2.86,93.96,16458.56,77.378
2014-01-20,,,,,
2014-01-21,1843.8,,94.51,16414.44,77.3517
2014-01-22,1844.86,,96.35,16373.34,77.5699
2014-01-23,1828.46,,97.23,16197.35,77.2629
2014-01-24,1790.29,2.82,96.66,15879.11,77.0342
2014-01-27,1781.56,,95.82,15837.88,77.0484
2014-01-28,1792.5,,97.49,15928.56,77.2545
2014-01-29,1774.2,,97.34,15738.79,77.1836
2014-01-30,1794.19,,98.25,15848.61,77.6308
2014-01-31,1782.59,2.73,97.55,15698.85,77.5941
2014-02-03,1741.89,,96.44,15372.8,77.3548
2014-02-04,1755.2,,97.24,15445.24,77.3861
2014-02-05,1751.64,,97.4,15440.23,77.4233
2014-02-06,1773.43,,97.84,15628.53,77.1615
2014-02-07,1797.02,2.68,99.98,15794.08,77.071
2014-02-10,1799.84,,100.12,15801.79,77.0372
2014-02-11,1819.75,,99.96,15994.77,76.9699
2014-02-12,1819.26,,100.38,15963.94,77.0049
2014-02-13,1829.83,,100.27,16027.59,76.744
2014-02-14,1838.63,2.75,100.31,16154.39,76.6076
2014-02-17,,,,,
2014-02-18,1840.76,,102.54,16130.4,76.4516
2014-02-19,1828.75,,103.46,16040.56,76.6246
2014-02-20,1839.78,,103.2,16133.23,76.9714
2014-02-21,1836.25,2.73,102.53,16103.3,76.9908
2014-02-24,1847.61,,103.17,16207.14,76.7365
2014-02-25,1845.12,,102.2,16179.66,76.7323
2014-02-26,1845.16,,102.93,16198.41,77.0502
2014-02-27,1854.29,,102.68,16272.65,76.9047
2014-02-28,1859.45,2.69,102.88,16321.71,76.539
2014-03-03,1845.73,,105.34,16168.03,76.6062
2014-03-04,1873.91,,103.64,16395.88,76.8497
2014-03-05,1873.81,,101.75,16360.18,76.6941
2014-03-06,1877.03,,101.82,16421.89,76.2899
2014-03-07,1878.04,2.71,102.82,16452.72,76.537
2014-03-10,1877.17,,101.39,16418.68,76.5703
2014-03-11,1867.63,,100.29,16351.25,76.5542
2014-03-12,1868.2,,98.29,16340.08,76.5197
2014-03-13,1846.34,,98.57,16108.89,76.2038
2014-03-14,1841.13,2.72,99.23,16065.67,76.2135
2014-03-17,1858.83,,98.43,16247.22,76.1372
2014-03-18,1872.25,,100.08,16336.19,76.2344
2014-03-19,1860.77,,100.71,16222.17,76.4289
2014-03-20,1872.01,,99.68,16331.05,77.0467
2014-03-21,1866.52,2.74,99.97,16302.77,76.9266
2014-03-24,1857.44,,100.05,16276.69,76.9537
2014-03-25,1865.62,,99.66,16367.88,76.894
2014-03-26,1852.56,,100.61,16268.99,76.768
2014-03-27,1849.04,,101.25,16264.23,76.6186
2014-03-28,1857.62,2.72,101.73,16323.06,76.7372
2014-03-31,1872.34,,101.57,16457.66,76.6267
2014-04-01,1885.52,,99.69,16532.61,76.5809
2014-04-02,1890.9,,99.6,16573.0,76.7442
2014-04-03,1888.77,,100.29,16572.55,76.937
2014-04-04,1865.09,2.77,101.16,16412.71,76.7472
2014-04-07,1845.04,,100.43,16245.87,76.5827
2014-04-08,1851.96,,102.57,16256.14,76.1626
2014-04-09,1872.18,,103.55,16437.18,76.0568
2014-04-10,1833.08,,103.37,16170.22,75.8249
2014-04-11,1815.69,2.68,103.68,16026.75,75.9416
2014-04-14,1830.61,,104.05,16173.24,76.1601
2014-04-15,1842.98,,103.7,16262.56,76.2336
2014-04-16,1862.31,,103.71,16424.85,76.349
2014-04-17,1864.85,,104.33,16408.54,76.2569
2014-04-18,,2.67,,,76.3858
2014-04-21,1871.89,,104.35,16449.25,76.4592
2014-04-22,1879.55,,101.69,16514.37,76.4151
2014-04-23,1875.39,,101.47,16501.65,76.4061
2014-04-24,1878.61,,102.2,16501.65,76.3594
2014-04-25,1863.4,2.71,100.85,16361.46,76.3353
2014-04-28,1869.43,,101.13,16448.74,76.337
2014-04-29,1878.33,,101.56,16535.37,76.2961
2014-04-30,1883.95,,100.07,16580.84,76.0492
2014-05-01,1883.68,,99.69,16558.87,76.0854
2014-05-02,1881.14,2.66,100.09,16512.89,76.1282
2014-05-05,1884.66,,99.74,16530.55,76.0115
2014-05-06,1867.72,,99.81,16401.02,75.6645
2014-05-07,1878.21,,101.06,16518.54,75.7175
2014-05-08,1875.63,,100.52,16550.97,75.7546
2014-05-09,1878.48,2.62,100.32,16583.34,76.1464
2014-05-12,1896.65,,100.89,16695.47,76.1646
2014-05-13,1897.45,,102.01,16715.44,76.3088
2014-05-14,1888.53,,102.63,16613.97,76.2502
2014-05-15,1870.85,,101.74,16446.81,76.2404
2014-05-16,1877.86,2.57,102.31,16491.31,76.2315
2014-05-19,1885.08,,102.95,16511.86,76.1559
2014-05-20,1872.83,,102.8,16374.31,76.2763
2014-05-21,1888.03,,104.31,16533.06,76.4822
2014-05-22,1892.49,,104.03,16543.08,76.4536
2014-05-23,1900.53,2.54,105.01,16606.27,76.4879
2014-05-26,,,,,
2014-05-27,1911.91,,104.78,16675.5,76.5466
2014-05-28,1909.78,,103.37,16633.18,76.5922
2014-05-29,1920.03,,104.26,16698.74,76.458
2014-05-30,1923.57,2.47,103.4,16717.17,76.4505
2014-06-02,1924.97,,103.07,16743.63,76.6675
2014-06-03,1924.24,,103.34,16722.34,76.6785
2014-06-04,1927.88,,103.27,16737.53,76.7542
2014-06-05,1940.46,,103.17,16836.11,76.6955
2014-06-06,1949.44,2.59,103.32,16924.28,76.6459
2014-06-09,1951.27,,105.09,16943.1,76.7179
2014-06-10,1950.79,,105.02,16945.92,76.8393
2014-06-11,1943.89,,105.04,16843.88,76.697
2014-06-12,1930.11,,107.2,16734.19,76.5622
2014-06-13,1936.16,2.62,107.49,16775.74,76.6742
2014-06-16,1937.78,,107.52,16781.01,76.4505
2014-06-17,1941.99,,106.95,16808.49,76.6061
2014-06-18,1956.98,,106.64,16906.62,76.592
2014-06-19,1959.48,,107.08,16921.46,76.2929
2014-06-20,1962.87,2.63,107.95,16947.08,76.3054
2014-06-23,1962.61,,106.83,16937.26,76.1756
2014-06-24,1949.98,,106.64,16818.13,76.2585
2014-06-25,1959.53,,107.04,16867.51,76.0454
2014-06-26,1957.22,,106.49,16846.13,76.0602
2014-06-27,1960.96,2.57,106.46,16851.84,75.9147
2014-06-30,1960.23,,106.07,16826.6,75.7123
2014-07-01,1973.32,,106.06,16956.07,75.6811
2014-07-02,1974.62,,105.18,16976.24,75.806
2014-07-03,1985.44,,104.76,17068.26,75.9433
2014-07-04,,2.6,,,
2014-07-07,1977.65,,104.19,17024.21,75.987
2014-07-08,1963.71,,104.06,16906.62,75.9451
2014-07-09,1972.83,,102.93,16985.61,75.867
2014-07-10,1964.68,,103.61,16915.07,75.9094
2014-07-11,1967.57,2.57,101.48,16943.81,76.0593
2014-07-14,1977.1,,101.73,17055.42,76.046
2014-07-15,1973.28,,100.56,17060.68,76.2454
2014-07-16,1981.57,,101.88,17138.2,76.3329
2014-07-17,1958.12,,103.84,16976.81,76.3008
2014-07-18,1978.22,2.53,103.83,17100.18,76.3269
2014-07-21,1973.63,,105.34,17051.73,76.3024
2014-07-22,1983.53,,104.59,17113.54,76.4769
2014-07-23,1987.01,,103.81,17086.63,76.4726
2014-07-24,1987.98,,102.76,17083.8,76.5247
2014-07-25,1978.34,2.49,105.23,16960.57,76.7712
2014-07-28,1978.91,,105.68,16982.59,76.7133
2014-07-29,1969.95,,104.91,16912.11,76.9616
2014-07-30,1970.07,,104.29,16880.36,77.284
2014-07-31,1930.67,,98.23,16563.3,77.2063
2014-08-01,1925.15,2.53,97.86,16493.37,77.1301
2014-08-04,1938.99,,98.26,16569.28,77.1807
2014-08-05,1920.21,,97.34,16429.47,77.4409
2014-08-06,1920.24,,96.93,16443.34,77.3369
2014-08-07,1909.57,,97.34,16368.27,77.2807
2014-08-08,1931.59,2.47,97.61,16553.93,77.2866
2014-08-11,1936.92,,98.09,16569.98,77.2732
2014-08-12,1933.75,,97.36,16560.54,77.3689
2014-08-13,1946.72,,97.57,16651.8,77.3755
2014-08-14,1955.18,,95.54,16713.58,77.2942
2014-08-15,1955.06,2.41,97.3,16662.91,77.2219
2014-08-18,1971.74,,96.44,16838.74,77.2932
2014-08-19,1981.6,,94.35,16919.59,77.5529
2014-08-20,1986.51,,96.4,16979.13,77.7343
2014-08-21,1992.37,,93.97,17039.49,77.8051
2014-08-22,1988.4,2.41,93.61,17001.22,77.9544
2014-08-25,1997.92,,95.39,17076.87,78.0904
2014-08-26,2000.02,,95.78,17106.7,78.0966
2014-08-27,2000.12,,95.82,17122.01,77.9372
2014-08-28,1996.74,,96.44,17079.57,77.8764
2014-08-29,2003.37,2.37,97.86,17098.45,77.9776
2014-09-01,,,,,
2014-09-02,2002.28,,92.92,17067.56,78.3587
2014-09-03,2000.72,,95.5,17078.28,78.1998
2014-09-04,1997.65,,94.51,17069.58,78.8074
2014-09-05,2007.71,2.44,93.32,17137.36,78.7697
2014-09-08,2001.54,,92.64,17111.42,79.0468
2014-09-09,1988.44,,92.73,17013.87,79.437
2014-09-10,1995.69,,91.71,17068.71,79.3746
2014-09-11,1997.45,,92.89,17049.0,79.4497
2014-09-12,1985.54,2.54,92.18,16987.51,79.5433
2014-09-15,1984.13,,92.86,17031.14,79.4974
2014-09-16,1998.98,,94.91,17131.97,79.2236
2014-09-17,2001.57,,94.33,17156.85,79.2843
2014-09-18,2011.36,,93.07,17265.99,79.4921
2014-09-19,2010.4,2.61,92.43,17279.74,79.8223
2014-09-22,1994.29,,91.46,17172.68,79.9205
2014-09-23,1982.77,,91.55,17055.87,79.9367
2014-09-24,1998.3,,93.6,17210.06,80.2143
2014-09-25,1965.99,,93.59,16945.8,80.3703
2014-09-26,1982.85,2.55,95.55,17113.15,80.7703
2014-09-29,1977.8,,94.53,17071.22,80.6812
2014-09-30,1972.29,,91.17,17042.9,81.0756
2014-10-01,1946.16,,90.74,16804.71,80.9928
2014-10-02,1946.17,,91.02,16801.05,80.6819
2014-10-03,1967.9,2.47,89.76,17009.69,81.6336
2014-10-06,1964.82,,90.33,16991.91,81.1335
2014-10-07,1935.1,,88.89,16719.39,80.9357
2014-10-08,1968.89,,87.29,16994.22,80.8064
2014-10-09,1928.21,,85.76,16659.25,80.6583
2014-10-10,1906.13,2.36,85.87,16544.1,80.8601
2014-10-13,1874.74,,85.73,16321.07,
2014-10-14,1877.7,,81.72,16315.19,80.8926
2014-10-15,1862.49,,81.82,16141.74,80.5238
2014-10-16,1862.76,,82.33,16117.24,80.3286
2014-10-17,1886.76,2.19,82.8,16380.41,80.5278
2014-10-20,1904.01,,82.76,16399.67,80.4982
2014-10-21,1941.28,,83.25,16614.81,80.5279
2014-10-22,1927.11,,80.52,16461.32,80.8094
2014-10-23,1950.82,,82.81,16677.9,80.9594
2014-10-24,1964.58,2.25,81.27,16805.41,80.8109
2014-10-27,1961.63,,81.26,16817.94,80.7399
2014-10-28,1985.05,,81.36,17005.75,80.5117
2014-10-29,1982.3,,82.25,16974.31,80.3787
2014-10-30,1994.65,,81.06,17195.42,81.0528
2014-10-31,2018.05,2.32,80.53,17390.52,81.8583
2014-11-03,2017.81,,78.77,17366.24,82.3088
2014-11-04,2012.1,,77.15,17383.84,82.2142
2014-11-05,2023.57,,78.71,17484.53,82.5232
2014-11-06,2031.21,,77.87,17554.47,82.9246
2014-11-07,2031.92,2.36,78.71,17573.93,82.7461
2014-11-10,2038.26,,77.43,17613.74,82.7006
2014-11-11,2039.68,,77.85,17614.9,
2014-11-12,2038.25,,77.16,17612.2,82.5341
2014-11-13,2039.33,,74.13,17652.79,82.6806
2014-11-14,2039.82,2.36,75.91,17634.74,82.6243
2014-11-17,2041.32,,75.64,17647.75,82.7956
2014-11-18,2051.8,,74.55,17687.82,82.5553
2014-11-19,2048.72,,74.55,17685.73,82.7301
2014-11-20,2052.75,,75.63,17719.0,82.7627
2014-11-21,2063.5,2.33,76.52,17810.06,82.9417
2014-11-24,2069.41,,75.74,17817.9,83.0047
2014-11-25,2067.03,,74.04,17814.94,82.8118
2014-11-26,2072.83,,73.7,17827.75,82.5859
2014-11-27,,,,,
2014-11-28,2067.56,2.25,65.94,17828.24,83.3705
2014-12-01,2053.44,,68.98,17776.8,82.9377
2014-12-02,2066.55,,66.99,17879.55,83.5228
2014-12-03,2074.33,,67.3,17912.62,83.7594
2014-12-04,2071.92,,66.73,17900.1,83.3877
2014-12-05,2075.37,2.27,65.89,17958.79,84.1257
2014-12-08,2060.31,,63.13,17852.48,84.219
2014-12-09,2059.82,,63.74,17801.2,83.4866
2014-12-10,2026.14,,60.99,17533.15,83.5567
2014-12-11,2035.33,,60.01,17596.34,83.8522
2014-12-12,2002.33,2.19,57.81,17280.83,83.4711
2014-12-15,1989.63,,55.96,17180.84,83.7107
2014-12-16,1972.74,,55.97,17068.87,83.5181
2014-12-17,2012.89,,56.43,17356.87,83.91
2014-12-18,2061.23,,54.18,17778.15,84.315
2014-12-19,2070.65,2.14,56.91,17804.8,84.6676
2014-12-22,2078.54,,55.25,17959.44,84.6852
2014-12-23,2082.17,,56.78,18024.17,85.0083
2014-12-24,2081.88,,55.7,18030.21,84.9349
